,Archaea_Simpson,Archaea_Shannon,Bacteria_Simpson,Bacteria_Shannon,Fungi_Simpson,Fungi_Shannon,Denitrification_Bacteria,Denitrification_Fungi,Denitrification_Archaea,DNR_Bacteria,DNR_Fungi,DNR_Archaea
QDDryWWTP4,0.75118144,3.28158583,0.94154954,5.30049866,0.98223086,4.411900661,311.668314,0.037461,0.555621,305.312596,0.046346,0.162862
QDDryWWTP5,0.77410137,3.48814862,0.95102133,5.73043721,0.980317338,4.371318445,312.022617,0.042775,0.205377,300.437262,0.042775,0.121069
QDWetMB1,0.89548452,4.18444921,0.82066881,4.7723135,0.980630211,4.318134292,316.228007,0,2.295382,333.310358,0.275101,1.076217
QDWetMB2,0.90790432,4.29823979,0.85995391,5.20996424,0.980260618,4.299464986,295.254402,0,2.364247,314.165501,0.400036,0.936079
QDWetMB3,0.89295879,4.2206397,0.84579632,4.90037542,0.980344655,4.320727466,320.459312,0,3.410942,339.189063,0.572741,1.289408
QDWetMB4,0.89786241,4.24554479,0.84264149,4.8610889,0.980305614,4.311411626,328.105107,0,3.324203,331.574359,0.504906,1.277286
QDWetMB5,0.8517094,3.95899122,0.89431204,4.96987211,0.980975177,4.338349552,350.640027,0,3.386527,361.975966,0.428228,0.804256
QDWetMC1,0.86721798,3.99718905,0.90598909,5.46890389,0.979787399,4.344718935,329.411874,0,1.515048,406.800437,0,0.684542
QDWetMC2,0.84634992,3.85710429,0.87247882,5.08451464,0.982468073,4.387312423,262.116068,0,1.755155,233.422117,0,1.522282
QDWetMC3,0.81600496,3.71894433,0.89892013,5.389483,0.984455775,4.449978052,275.850999,0,2.018394,239.276609,0,0.152429
QDWetMC4,0.85081386,3.96025216,0.86448329,5.05580146,0.984420267,4.443509518,313.357219,0,2.102455,295.404941,0.047511,0.283579
QDWetMC5,0.87096738,4.09270871,0.87581002,5.12237725,0.984702943,4.470347799,285.838132,0,2.177693,243.193059,0.04042,0.21302
QDWetME1,0.85328363,4.14006059,0.9291045,5.33413575,0.986136434,4.574280012,287.636142,0,2.156854,234.892807,0,0.060185
QDWetME2,0.94951371,4.94576895,0.94472251,6.34038907,0.985619822,4.54909574,175.176996,0,1.013002,154.934868,0,0
QDWetME3,0.9335991,4.75506405,0.93854981,6.14812146,0.983455937,4.518875504,194.187145,0,0.848348,167.870442,0,0.050111
QDWetME5,0.89304117,4.3687553,0.94188533,5.54336709,0.983400845,4.518203836,370.562155,0,0.147697,533.835589,0.043128,0
QDWetMP1,0.92813297,4.71087632,0.9656379,6.63818286,0.985124592,4.543873007,283.277465,0,1.009501,305.337974,0.283844,0.393777
QDWetMP2,0.93842213,4.4798087,0.98778049,7.00185263,0.983098748,4.51612595,312.786819,0,0.667031,363.903992,0.392121,0.279532
QDWetMP3,0.94064603,4.60760053,0.98764864,6.9802346,0.984088754,4.543390046,334.345106,0,1.248277,340.815269,0.204123,0.174616
QDWetMP4,0.9400534,4.61404648,0.9878336,7.02871455,0.984837366,4.554459487,273.744263,0,0.791689,303.160331,0.215239,0.601168
QDWetMP5,0.95272001,4.74828686,0.98709049,6.92412784,0.981863967,4.500023015,269.35006,0,1.008594,272.021008,0.36696,0.642278
QDWetMR1,0.95878263,4.8311614,0.98787218,6.98976968,0.979749219,4.395142482,284.827141,0,0.705079,267.412515,0.14156,0.23464
QDWetMR2,0.92994377,4.84783935,0.95913899,5.99533106,0.983654348,4.52233293,298.980518,0,0.876333,279.587204,0.117991,0.549268
QDWetMR3,0.92484775,4.818243,0.97277673,6.4787852,0.985312996,4.541849202,289.786197,0,0.434586,282.143765,0.191045,0.258681
QDWetMR4,0.91694642,4.70412103,0.98506615,6.93545724,0.984901049,4.528720642,220.988243,0,0.319581,211.482587,0.061209,0.217129
QDWetMR5,0.7346059,3.29154098,0.95675467,5.37350873,0.984175124,4.514594482,194.917826,0,0.849732,188.558654,0.044559,0.447247
QDWetWWTP2,0.91365193,4.54785793,0.98394715,6.84857102,0.983385197,4.526554305,334.107601,0,0.63193,362.974279,0.285098,0.040846
QDWetWWTP3,0.91607609,4.54615337,0.98546165,6.99220835,0.984086266,4.540339094,311.810369,0,0.361281,337.174265,0.303098,0.052742
QDWetWWTP5,0.92046918,4.53340868,0.97502728,6.48513252,0.985157056,4.551374042,352.898875,0,0.92765,420.252381,0.225962,0.251528
