ID,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin
A55,0.109334498,0.860915944,-0.375686076,0.007969672,0.707494697,-0.151951321,-0.69373568,-0.139109019,-0.707532897,-0.480338285,-0.698735306,0.547151247,0.661116457,1.775481768
A56,0.577362877,-0.432120637,-0.461366129,0.011221512,0.728059835,-0.18948156,-0.663616195,-0.892189973,-0.40638929,-0.167922567,-0.846059842,0.057288703,-0.109687738,-0.235570082
A57,0.148336863,0.699286372,-0.340836935,-0.031052402,0.738342405,-0.170716441,-0.713815336,0.268555292,-0.425061961,-1.174704673,0.450663702,1.377404818,0.757301381,1.619930657
A58,0.538360512,0.376027226,-0.493551642,-0.427776827,0.892580941,-0.283307156,-0.733894993,-1.111949526,-0.101449358,-0.031441206,-0.408655528,-0.049136768,-0.001861982,-0.122829611
A59,0.265343958,1.345804662,3.018664652,-0.414769469,0.882298372,-0.283307156,-0.663616195,-1.053656749,-0.450275578,-0.070837816,-0.007889924,0.020741544,0.041854629,-0.493717495
A60,0.499358147,0.699286372,1.276207602,-0.418021308,0.861733234,-0.283307156,-0.663616195,-1.102846322,-0.235480908,-0.139538872,-0.441262003,-0.037199079,-0.101669938,-0.225589184
A61,1.045391256,-0.432120637,0.85557625,-0.437532346,0.902863511,-0.273924596,-0.583297568,-1.390962904,-0.109545151,-0.054459532,-0.770611816,-0.117638703,-0.129228543,-0.066413495
A62,-2.971852328,0.699286372,-0.379903488,-1.247240393,1.036536909,-0.114421083,-0.643536538,1.156097752,3.100246438,0.001735823,-0.25840349,-0.398468558,-0.328319133,0.130040838
A63,-1.177743543,-0.108861492,-0.289118146,-1.253744072,1.036536909,-0.180099,-0.713815336,1.997821034,4.74767865,0.925380214,-1.037947207,-1.822620835,-0.303284961,0.341984053
A64,-1.450760097,-0.59375021,-0.36769519,-1.256995912,1.015971771,-0.142568762,-0.583297568,2.004655224,4.129939258,0.819123701,-1.194963947,-1.092730295,-0.228123528,-0.239049572
A65,-1.255748273,0.699286372,-0.172140456,-1.263499591,1.015971771,-0.198864119,-0.352381516,4.528318299,11.25602036,2.695103376,-1.845541368,-2.624956782,0.245547399,0.707833198
A66,1.16239835,0.020442166,0.126407918,0.898973708,-1.492975096,-0.285183668,0.219888699,-0.776670039,-0.488481349,0.326228129,-0.101615445,-0.400084246,0.090294528,-0.03112495
A67,1.123395985,0.004279209,0.136396525,0.88596635,-1.410714543,-0.285183668,0.420685266,-0.888546069,-0.615425718,0.232940154,-0.234434361,-0.218290434,0.107850387,-0.19163455
A68,1.24040308,0.004279209,-0.054052921,1.009536253,-1.451844819,-0.078767357,0.34036664,-1.000996818,-0.428017307,0.226050996,-0.564269602,-0.308036624,-0.011527563,-0.027679682
A69,1.201400715,0.004279209,0.028741535,0.846944276,-1.410714543,-0.27767762,-0.041146837,-1.221496209,-0.613405905,0.396755951,-0.573235908,-0.309377755,0.109904126,-0.00892787
A70,1.16239835,0.020442166,0.059151295,0.941247622,-1.503257665,-0.2823689,-0.834293276,-1.144879145,-0.5403135,0.327756059,-0.702326075,-0.248688791,0.043264881,0.01346464
A71,-0.475700975,-2.66260874,2.990918521,0.996528895,-1.390149404,2.241539628,0.119490416,0.250721472,-0.543863644,0.726103302,-0.70963402,-0.302355674,0.275163917,-0.495014226
A72,-0.397696245,-3.10870636,3.091470501,1.188387428,-1.359301697,4.919322132,0.802198743,-0.665385973,-0.383038942,5.070309314,0.683236489,1.190413347,4.006632818,-0.851489177
A73,0.655367607,-2.258534808,3.246848837,1.201394786,-1.390149404,4.473650552,0.300207326,-0.198631984,-0.854260969,8.319774365,1.355684836,5.465456382,-5.094005708,1.155229121
A74,0.850379431,-3.06345008,3.02155025,1.773718547,-1.369584266,7.684362441,0.541163206,-0.301542552,-0.704533379,1.3688307,0.040646222,0.415160392,0.491521541,-0.361558061
A75,0.694369972,-3.073147854,2.767173717,1.89403661,-1.349019128,2.691902488,0.129530244,0.039581316,-0.765146353,0.58082608,-0.465166278,-0.285551155,-0.087234249,-0.444041663
A76,1.16239835,-0.108861492,-0.219641833,0.95750682,-1.492975096,-0.276739364,-0.854372933,11.90851553,-2.349796662,-0.008617159,-2.077201391,-0.329088709,-0.632966699,-1.373584255
A77,1.24040308,-0.141187406,-0.006551544,1.012788093,-1.56495308,-0.286121923,-0.844333105,19.70640473,-2.135934524,0.550200098,-1.398213301,-0.757462874,-0.688790924,0.671434023
A78,1.123395985,-0.011883748,0.074689129,0.973766018,-1.482692527,-0.291751459,-0.854372933,7.688610885,-2.308915659,1.001854918,0.264909566,-2.017998183,-1.004156749,-0.828413439
A79,1.279405445,-0.076535577,-0.072254383,1.051810167,-1.55467051,-0.285183668,-0.834293276,14.54068445,-3.541475202,-1.717450641,1.703081377,1.794329088,1.10616967,-0.033078838
A80,1.123395985,-0.125024449,0.07446716,0.983521537,-1.503257665,-0.283307156,-0.854372933,7.567507291,-1.49349986,0.489526244,-0.431049795,0.101703536,0.309342982,-2.637808809
A81,1.123395985,-0.06037262,0.287557449,0.924988425,-1.667778771,-0.250468197,0.661641146,-0.301364801,-0.861010571,0.54300023,2.262632555,-2.355942068,-0.523929753,0.857966181
A82,1.16239835,0.068931038,0.220078857,1.012788093,-1.657496202,-0.269233316,0.34036664,-0.041783018,-1.009830329,1.005232195,2.120981408,-2.099641128,-0.025585063,0.532593164
A83,1.24040308,0.020442166,0.136174556,1.077824883,-1.606083356,-0.253282965,0.310247154,-0.296784605,-0.919157039,0.285980281,2.586993657,-2.244523304,-0.572896129,0.621763461
A84,1.16239835,-0.028046705,-0.225413028,0.983521537,-1.616365925,-0.267356804,0.119490416,0.385792132,-1.084092181,0.976297066,2.51349666,-2.598847518,-0.501031316,0.560870466
A85,1.24040308,-0.125024449,0.192110757,1.045306488,-1.431279681,-0.222320518,0.199809043,-0.519791496,-0.553746808,0.157715128,0.590985312,-0.240518214,0.1844565,-0.508527749
A86,1.006388891,-0.125024449,0.356589824,1.188387428,-1.503257665,-0.285183668,-0.854372933,-0.330090511,-0.655412128,0.258678587,0.454057026,-0.198721564,0.251922024,-0.502186633
A87,0.967386526,-0.06037262,0.470016009,1.051810167,-1.523822803,-0.275801108,-0.854372933,-0.62698689,-0.738449833,0.209818783,0.115505761,-0.200806963,0.143144485,-0.31507535
A88,0.928384161,-0.011883748,1.334585462,1.048558328,-1.544387941,-0.258912501,-0.854372933,-0.83419002,-1.107180233,4.82442045,1.649807214,1.026043514,5.115704394,-1.504279609
A89,1.123395985,0.004279209,-0.45892447,1.003032574,-1.482692527,-0.230764822,-0.854372933,-0.171941478,-1.128448851,0.863357454,2.846147108,-3.307443231,-0.770115784,1.364830385
